360,digital,1
digital,messaging,1
messaging,and,1
more,use,1
use,cases.,2
cases.,Chose,1
cases.,Riak,1
TS,for,1
time,series,1
series,use,1
our,Community,1
our,latest,1
our,needs.,1
our,future,1
our,rapidly,1
our,concerns,1
our,Riak,1
our,transformation,1
our,new,1
Community,provide,1
Community,page,1
provide,a,1
range,of,1
Support,and,1
Professional,Services,1
Services,designed,1
designed,to,1
meet,the,1
the,needs,1
the,place,1
the,call,1
the,lights,1
the,potential,1
the,NoSQL,1
the,core,1
needs,of,1
open,source,2
source,and,1
source,Riak,1
Enterprise,customers.,1
customers.,Download,1
Download,and,1
experience,open,1
experience,with,1
connectors,for,1
popular,distributed,1
technologies,like,1
like,Spark,1
Spark,and,1
Mesos.,Our,1
Our,Community,1
page,is,1
place,to,1
find,information,1
information,on,1
information,Riak’s,1
Open,Source,1
Source,projects,1
projects,developer,1
developer,conversation,1
developer,recognition,1
conversation,forums,1
forums,and,1
recognition,program.,1
program.,Browse,1
Browse,our,1
latest,documentation.,1
documentation.,When,1
When,seconds,1
seconds,of,1
latency,can,1
can,cost,1
cost,thousands,1
thousands,of,1
dollars,and,1
an,outage,1
an,available,1
outage,millions,1
millions,the,1
call,for,1
scalable,highly,1
scalable,database,1
scalable,minimal,1
available,databases,1
available,scalable,1
databases,that,1
easy,to,2
operationalize,is,1
resoundingly,clear.,1
clear.,Riak,1
performs,as,1
as,promised,1
as,integrating,1
as,the,1
as,advertised.,1
promised,and,1
keeps,the,1
lights,on.,1
on.,After,1
After,a,1
stringent,evaluation,1
evaluation,process,1
process,we,1
decided,that,1
was,best-suited,1
best-suited,to,1
needs.,-,1
-,Martin,1
-,Jason,1
-,Matt,2
-,Wes,1
-,Bryson,1
Martin,Davies,1
Davies,CEO,1
CEO,of,1
Technology,bet365,1
bet365,Initiatives,1
Initiatives,such,1
such,as,1
integrating,Riak,1
Redis,and,1
Apache,Solr,1
Solr,have,1
have,the,1
have,worked,1
have,always,1
potential,to,1
future,development,1
development,workload,1
workload,considerably.,1
considerably.,-,1
Jason,Ordway,1
Ordway,CTO,1
CTO,ShopKeep,1
ShopKeep,POS,1
POS,They,1
They,(Riak),1
(Riak),have,1
worked,with,1
us,in,1
in,a,2
in,growth,1
in,our,1
true,partnership,1
partnership,fashion,1
fashion,to,1
keep,up,1
up,with,1
rapidly,scaling,1
scaling,business,1
business,and,1
always,addressed,1
addressed,our,1
concerns,in,1
timely,manner.,1
manner.,-,1
Matt,Davis,1
Matt,Ranney,1
Davis,Site,1
Site,Reliability,1
Reliability,Engineer,1
Engineer,at,1
Engineer,Uber,1
at,OpenX,1
at,Tapjoy,1
OpenX,Today,1
Today,we,1
now,see,1
see,peaks,1
peaks,well,1
well,over,1
over,250000,1
250000,operations,1
operations,per,1
per,second,1
second,all,1
sustaining,sub-millisecond,1
sub-millisecond,response,1
response,times,1
times,and,1
rock,solid,1
solid,stability.,1
stability.,Despite,1
Despite,this,1
massive,change,1
change,in,1
growth,we,1
do,not,1
not,employ,1
employ,any,1
any,full-time,1
full-time,engineers,1
engineers,to,1
cluster.,It’s,1
It’s,really,1
really,that,1
use.,-,1
Wes,Jossey,1
Jossey,Head,1
Head,of,1
Operations,at,1
Tapjoy,Riak,1
has,been,2
has,proven,1
been,a,1
been,that,1
valuable,partner,1
partner,in,1
transformation,and,1
proven,to,1
critical,component,1
component,as,1
powering,our,1
new,platform.,1
platform.,-,1
Bryson,Koehler,1
Koehler,EVP,1
EVP,and,1
CIO,The,1
The,Weather,1
Weather,Company,1
Company,My,1
My,experience,1
core,promise,1
promise,of,1
being,an,1
minimal,operational,1
operational,support,1
support,key-value,1
store,delivers,1
delivers,as,1
advertised.,-,1
Ranney,Senior,1
Senior,Staff,1
Staff,Engineer,1
